cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;cod_dpto;departamento;cod_mpio;municipio;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;año_corte;mes_corte
3802;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA;8153;INSTITUTO DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO CHIPOLOS;1026;05/04/2015 12:00:00 AM;54;NORTE DE SANTANDER;54001;CÚCUTA;NO;;;;;2020;11
3776;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;7546;CORPORACION UNIVERSITARIA MINUTO DE DIOS;10345;08/01/2090 12:00:00 AM;18;CAQUETÁ;18001;FLORENCIA;NO;;;;;2020;11
3735;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA;3920;CORPORACION EDUCATIVA INSTITUTO TECNICO INSETEC;001804;03/03/2009 12:00:00 AM;25;CUNDINAMARCA;25430;MADRID;NO;;;;;2020;11
3798;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;5034;CEINFOS;3611;10/05/2010 12:00:00 AM;52;NARIÑO;52885;YACUANQUER;NO;;;;;2020;11
3776;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;7635;INSTITUTO PARA LA FORMACION Y PROYECCION DE TALENTO HUMANO INFORPH;0869;12/16/2014 12:00:00 AM;18;CAQUETÁ;18001;FLORENCIA;NO;;;;;2020;11
3776;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;1015;ESCUELA COLOMBIANA DE CIENCIAS EN SALUD FLORENCIA ECSALUD ZOMAC S.A.S.;000052;01/07/2099 12:00:00 AM;18;CAQUETÁ;18001;FLORENCIA;NO;;;;;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;5846;CENTRO DE CIENCIA Y SENSIBILIZACIÓN AMBIENTAL;15196;12/07/2011 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;396;FUNDACIÓN CENTRO ELECTRÓNICO DE IDIOMAS FUNCEI;4056;09/29/2004 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3819;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUENAVENTURA;6786;CORPORACION ESCUELA SUPERIOR DE ADMINISTRACIÓN Y ESTUDIOS TECNOLOGICOS;0904;04/13/2012 12:00:00 AM;76;VALLE DEL CAUCA;76109;BUENAVENTURA;NO;;;;;2020;11
3825;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CASANARE;9085;ESCUELA DE FORMACIÓN EMPRESARIAL EFE;3189;12/13/2018 12:00:00 AM;85;CASANARE;85010;AGUAZUL;NO;;;;;2020;11
3781;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;7046;"CENTRO DE ESTUDIOS TÉCNICOS ""CEPRODENT""";862;09/12/2013 12:00:00 AM;23;CÓRDOBA;23672;SAN ANTERO;NO;;;;;2020;11
4841;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL;6829;FUNDACION TECNICA DE COLOMBIA;0798;06/27/2016 12:00:00 AM;85;CASANARE;85001;YOPAL;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;9131;INSTITUCION DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO CORPOIBEROAMERICANA S.A.S;06-004-2019;02/05/2019 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
