DIVIPOLA;DEPARTAMENTO;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;_2020
91;Amazonas;228;253;278;304;336;369;402;438;476;532;593;661;710;759;808;768
05;Antioquia;51007;57285;64514;68425;71309;75982;85578;92318;98573;106819;115446;126022;132369;141680;153558;148387
81;Arauca;3555;4048;4451;5837;5062;5217;6171;5984;5674;5010;4534;4152;4367;5091;5619;5072
08;Atlántico;13507;15432;18052;19527;20809;21443;23549;26445;29112;32383;35716;38575;40875;43369;46575;44588
11;Bogotá D.C.;89832;100462;112441;122101;130672;139740;152691;164542;177361;191026;206478;221456;236786;253941;273524;260207
13;Bolívar;11169;12845;14688;16048;16432;18363;21489;23078;25859;26623;28105;30918;33394;35410;38285;34634
15;Boyacá;8226;9215;10951;12771;13261;14475;17260;18314;19380;20839;22165;23671;24782;26884;28574;26484
17;Caldas;6015;6888;7609;8181;8364;8822;9343;9748;10498;11519;12514;13798;14749;15711;17012;16860
18;Caquetá;1254;1365;1560;1746;1904;1972;2166;2554;2836;3175;3350;3666;3866;4072;4313;4160
85;Casanare;7842;8270;8009;9910;9165;10454;14433;15729;16781;16688;13305;11667;13145;15507;16465;13545
19;Cauca;5059;5722;6282;7086;7646;8503;9290;10373;11624;13086;14622;16070;16739;17479;18755;18192
20;Cesar;6462;7403;7971;9789;10335;10891;13247;13975;13383;13654;14570;16992;19551;21263;20725;17555
27;Chocó;1232;1374;1490;1672;2104;2903;3652;3555;3080;3145;3571;4222;3958;3777;4168;4425
23;Córdoba;6023;6803;8193;8202;8473;9011;9758;10779;11697;12913;13657;14662;15793;16800;18279;17922
25;Cundinamarca;19546;21387;24214;27379;29327;31676;35465;38214;40742;43759;48055;53516;55731;59085;63112;61266
94;Guainía;127;148;151;166;180;196;206;232;258;275;307;332;339;364;390;366
95;Guaviare;349;375;421;442;450;472;484;530;572;620;677;718;758;783;832;822
41;Huila;6076;6577;7187;8491;8587;9562;11263;11690;12414;13383;13805;14693;15222;15989;17198;16620
44;La Guajira;4199;4759;4961;6488;6792;6931;8080;8473;8188;8361;8666;9442;10785;11882;11225;8435
47;Magdalena;4323;4691;5239;6100;6857;7270;7761;8480;9319;9550;10514;11692;12422;13233;14148;13604
50;Meta;7953;9656;10623;15253;16836;23608;35741;39466;42214;37364;30712;26335;30239;35331;38496;31442
52;Nariño;5169;5989;6517;6915;7418;7704;8553;9343;10149;10991;12230;13893;14062;14835;15907;15652
54;Norte de Santander;5098;5987;6756;7712;8302;8698;9408;9897;10747;11643;12534;13811;14445;15443;16289;15740
86;Putumayo;1116;1331;1566;2025;2292;2886;3637;3736;4497;4485;3481;3298;3613;4033;4049;3354
63;Quindío;2750;3255;3549;3834;4018;4281;4767;5242;5460;5720;6381;7133;7633;7951;8533;8245
66;Risaralda;5512;6342;6852;7438;7969;8420;8980;9629;10613;11728;12656;13891;14922;15877;17078;16501
88;San Andrés Providencia y Santa Catalina (Archipiélago);489;561;655;689;753;785;857;934;1046;1144;1253;1341;1439;1531;1639;1345
68;Santander;18733;21572;24620;28389;28494;32726;37784;40283;43409;50858;51999;55182;59463;63776;69125;61971
70;Sucre;2386;2758;3161;3486;3879;4011;4473;4994;5480;6089;6577;7186;7702;8123;8697;8372
73;Tolima;7702;8763;10047;11345;11432;11965;13518;14387;15275;16560;17381;18863;19988;21002;22526;21522
76;Valle del Cauca;34639;39675;45059;48319;51607;54213;58465;62545;66719;72279;78074;85102;89766;95894;103173;99700
97;Vaupés;80;85;104;112;123;130;149;164;190;218;233;251;263;281;303;287
99;Vichada;302;329;337;367;382;383;401;435;467;465;529;574;597;635;688;676
